"Id do Aeródromo","CIAD","Código OACI","Id to Tipo de Uso","Tipo de Uso","Nome","Município","UF","País","Município Servido","UF Servido","Latitude","Longitude","Altitude","Operação Diurna","Operação Noturna","Id da Pista 1","Designação (Pista 1)","Comprimento (Pista 1)","Largura (Pista 1)","Resistência (Pista 1)","Superfície (Pista 1)","Aeronave Crítica (Pista 1)","Tipo Operação por Cabeceira (Pista 1)","Luzes de Eixo de Pista (Pista 1)","Luzes de Borda de Pista (Pista 1)","Id da Pista 2","Designação (Pista 2)","Comprimento (Pista 2)","Largura (Pista 2)","Resistência (Pista 2)","Superfície (Pista 2)","Aeronave Crítica (Pista 2)","Tipo Operação por Cabeceira (Pista 2)","Luzes de Eixo de Pista (Pista 2)","Luzes de Borda de Pista (Pista 2)","Tipo de Cadastro","Situação","Classe RBAC 153","Perfil Operacional RBAC 153","Classe RBAC 107","Tipo de Operação Internacional (nomenclatura OACI)","Tipo de Operação Internacional (conforme AIP BRASIL)","Certificação Operacional","Portaria de Certificação","Validade do Cadastro","Portaria de Cadastro","Restrição","Referência Cautelar","Amazônia Legal"
10655,"GO0322","",1,"Privado","HELIPONTO ESCARPAS","ABADIÂNIA","GO","Brasil","","","16°12'46,0""S","048°30'33,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
187,"PR0019","SSUM",2,"Público","Orlando de Carvalho","UMUARAMA","PR","Brasil","Umuarama","PR","23°47'57,0""S","053°18'50,0""W","473 m","","",803,"04/22","1430 m","30 m","19/F/C/Y/T","Asfalto","","04 - Visual; 22 - Visual",,1,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",1,"","AP-1","","","não","","05/08/2028","https://pergamum.anac.gov.br/arquivos/PA2018-2722.pdf"," ","","não"
10422,"MT0623","",1,"Privado","Fazenda Santa Joana","SANTO ANTÔNIO DO LEVERGER","MT","Brasil","","","17°14'04,0""S","055°13'36,0""W","150 m","VFR","Sem Operação",12741,"10/28","800 m","20 m","5600 Kg /   0,50 MPa","Terra","","10 - Visual; 28 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","06/05/2031","https://pergamum.anac.gov.br/arquivos/PA2021-4893.pdf"," ","","sim"
13805,"MT0816","",1,"Privado","São José","CAMPO VERDE","MT","Brasil","","","15°14'26,0""S","054°45'37,0""W"," m","VFR","Sem Operação",16341,"16/34","700 m","18 m","1700 Kg /   0,50 MPa","Cascalho","","16 - Visual; 34 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","04/01/2032","https://pergamum.anac.gov.br/arquivos/PA2021-6738.pdf"," ","","sim"
19082,"PA0358","",1,"Privado","BEMAD CAXIUANÃ","MELGAÇO","PA","Brasil","","","01°47'59,0""S","051°42'49,0""W","20 m","VFR","Sem Operação",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","19/06/2033","https://pergamum.anac.gov.br/arquivos/PA2023-11553.pdf"," ","","sim"
6183,"SC0188","SSES",1,"Privado","Hemmer","BLUMENAU","SC","Brasil","","","26°53'04,0""S","049°08'18,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","18/09/2030","https://pergamum.anac.gov.br/arquivos/PA2020-2116.pdf"," ","","não"
9762,"MT0746","",1,"Privado","Fazenda Fronteira do Guaporé","COMODORO","MT","Brasil","","","13°43'49,0""S","060°28'43,0""W","205 m","VFR","VFR",13721,"17/35","1500 m","24 m","8/F/B/Y/U","Asfalto","","17 - Visual; 35 - ",0,1,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","23/06/2031","https://pergamum.anac.gov.br/arquivos/PA2021-5123.pdf"," ","","sim"
15024,"","LEBL",,"","Aeropuerto Josep Tarradellas Barcelona-El Prat","","","Espanha","","","41°17'49,0""N","002°04'42,0""E"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo Estrangeiro","Autorizado",,"","","","","não","","",""," ","","não"
1829,"PR0086","SSMY",1,"Privado","São Miguel do Iguaçu","SÃO MIGUEL DO IGUAÇU","PR","Brasil","","","25°23'34,0""S","054°16'06,0""W","290 m","","",4703,"02/20","1000 m","18 m","5600 Kg /   0,50 MPa","Asfalto","","02 - ; 20 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","25/06/2031","https://pergamum.anac.gov.br/arquivos/PA2021-5219.pdf"," ","","não"
658,"MG0452","SINM",1,"Privado","Fazenda Mangabas","SANTA VITÓRIA","MG","Brasil","","","19°13'39,0""S","050°18'50,0""W","407 m","VFR","Sem Operação",8482,"07/25","1100 m","20 m","5700 Kg /   0,50 MPa","Terra","","07 - Visual; 25 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","29/07/2030","https://pergamum.anac.gov.br/arquivos/PA2020-1777.pdf"," ","","não"
